Sample	Mouse_Model	Condition	Sex	Genotype	Drug	Batch	Group
ADNP_WfF_5	Adnp	WfF	Female	Wildtype	Fluoxetine	B1	Group2
ADNP_WfM_1	Adnp	WfM	Male	Wildtype	Fluoxetine	B1	Group2
ADNP_WfM_2	Adnp	WfM	Male	Wildtype	Fluoxetine	B1	Group2
ADNP_WfM_3	Adnp	WfM	Male	Wildtype	Fluoxetine	B1	Group2
ADNP_WfM_4	Adnp	WfM	Male	Wildtype	Fluoxetine	B1	Group2
ADNP_WfM_5	Adnp	WfM	Male	Wildtype	Fluoxetine	B1	Group2
ADNP_WLF_1	Adnp	WLF	Female	Wildtype	Lithium	B5	Group2
ADNP_WLF_2	Adnp	WLF	Female	Wildtype	Lithium	B5	Group2
ADNP_WLF_3	Adnp	WLF	Female	Wildtype	Lithium	B5	Group2
ADNP_WLF_4	Adnp	WLF	Female	Wildtype	Lithium	B5	Group2
ADNP_WLF_5	Adnp	WLF	Female	Wildtype	Lithium	B5	Group2
ADNP_WLM_1	Adnp	WLM	Male	Wildtype	Lithium	B5	Group2
ADNP_WLM_2	Adnp	WLM	Male	Wildtype	Lithium	B5	Group2
ADNP_WLM_3	Adnp	WLM	Male	Wildtype	Lithium	B5	Group2
ADNP_WvF_1	Adnp	WvF	Female	Wildtype	Vehicle	B1	Group2
ADNP_WvF_2	Adnp	WvF	Female	Wildtype	Vehicle	B1	Group2
ADNP_WvF_3	Adnp	WvF	Female	Wildtype	Vehicle	B1	Group2
ADNP_WvF_4	Adnp	WvF	Female	Wildtype	Vehicle	B1	Group2
ADNP_WvF_5	Adnp	WvF	Female	Wildtype	Vehicle	B1	Group2
ADNP_WvF_6	Adnp	WvF	Female	Wildtype	Vehicle	B5	Group2
ADNP_WvF_7	Adnp	WvF	Female	Wildtype	Vehicle	B5	Group2
ADNP_WvF_8	Adnp	WvF	Female	Wildtype	Vehicle	B5	Group2
ADNP_WvM_1	Adnp	WvM	Male	Wildtype	Vehicle	B1	Group2
ADNP_WvM_2	Adnp	WvM	Male	Wildtype	Vehicle	B1	Group2
ADNP_WvM_3	Adnp	WvM	Male	Wildtype	Vehicle	B1	Group2
ADNP_WvM_4	Adnp	WvM	Male	Wildtype	Vehicle	B1	Group2
ADNP_WvM_5	Adnp	WvM	Male	Wildtype	Vehicle	B1	Group2
ADNP_WvM_6	Adnp	WvM	Male	Wildtype	Vehicle	B5	Group2
ADNP_WvM_7	Adnp	WvM	Male	Wildtype	Vehicle	B5	Group2
Arid_HfF_1	Arid1b	HfF	Female	Mutant	Fluoxetine	B2	Group2
Arid_HfF_2	Arid1b	HfF	Female	Mutant	Fluoxetine	B2	Group2
Arid_HfF_3	Arid1b	HfF	Female	Mutant	Fluoxetine	B2	Group2
Arid_HfF_4	Arid1b	HfF	Female	Mutant	Fluoxetine	B2	Group2
Arid_HfF_5	Arid1b	HfF	Female	Mutant	Fluoxetine	B2	Group2
Arid_HfM_1	Arid1b	HfM	Male	Mutant	Fluoxetine	B2	Group1
Arid_HfM_2	Arid1b	HfM	Male	Mutant	Fluoxetine	B2	Group1
Arid_HfM_3	Arid1b	HfM	Male	Mutant	Fluoxetine	B2	Group1
Arid_HfM_4	Arid1b	HfM	Male	Mutant	Fluoxetine	B2	Group1
Arid_HfM_5	Arid1b	HfM	Male	Mutant	Fluoxetine	B2	Group1
Arid_HLF_1	Arid1b	HLF	Female	Mutant	Lithium	B2	Group2
Arid_HLF_2	Arid1b	HLF	Female	Mutant	Lithium	B2	Group2
Arid_HLF_3	Arid1b	HLF	Female	Mutant	Lithium	B2	Group2
Arid_HLF_4	Arid1b	HLF	Female	Mutant	Lithium	B2	Group2
Arid_HLF_5	Arid1b	HLF	Female	Mutant	Lithium	B2	Group2
Arid_HLM_1	Arid1b	HLM	Male	Mutant	Lithium	B2	Group1
Arid_HLM_2	Arid1b	HLM	Male	Mutant	Lithium	B2	Group1
Arid_HLM_3	Arid1b	HLM	Male	Mutant	Lithium	B2	Group1
Arid_HLM_4	Arid1b	HLM	Male	Mutant	Lithium	B2	Group1
Arid_HLM_5	Arid1b	HLM	Male	Mutant	Lithium	B2	Group1
Arid_HvF_1	Arid1b	HvF	Female	Mutant	Vehicle	B2	Group2
Arid_HvF_2	Arid1b	HvF	Female	Mutant	Vehicle	B2	Group2
Arid_HvF_3	Arid1b	HvF	Female	Mutant	Vehicle	B2	Group2
Arid_HvF_4	Arid1b	HvF	Female	Mutant	Vehicle	B2	Group2
Arid_HvM_1	Arid1b	HvM	Male	Mutant	Vehicle	B2	Group1
Arid_HvM_2	Arid1b	HvM	Male	Mutant	Vehicle	B2	Group1
Arid_HvM_3	Arid1b	HvM	Male	Mutant	Vehicle	B2	Group1
Arid_HvM_4	Arid1b	HvM	Male	Mutant	Vehicle	B2	Group1
Arid_HvM_5	Arid1b	HvM	Male	Mutant	Vehicle	B2	Group1
Arid_WfF_1	Arid1b	WfF	Female	Wildtype	Fluoxetine	B2	Group2
Arid_WfF_2	Arid1b	WfF	Female	Wildtype	Fluoxetine	B2	Group2
Arid_WfF_3	Arid1b	WfF	Female	Wildtype	Fluoxetine	B2	Group2
Arid_WfF_4	Arid1b	WfF	Female	Wildtype	Fluoxetine	B2	Group2
Arid_WfF_5	Arid1b	WfF	Female	Wildtype	Fluoxetine	B2	Group2
Arid_WfM_1	Arid1b	WfM	Male	Wildtype	Fluoxetine	B2	Group1
Arid_WfM_2	Arid1b	WfM	Male	Wildtype	Fluoxetine	B2	Group1
Arid_WfM_3	Arid1b	WfM	Male	Wildtype	Fluoxetine	B2	Group1
Arid_WfM_4	Arid1b	WfM	Male	Wildtype	Fluoxetine	B2	Group1
Arid_WfM_5	Arid1b	WfM	Male	Wildtype	Fluoxetine	B2	Group1
Arid_WLF_1	Arid1b	WLF	Female	Wildtype	Lithium	B2	Group2
Arid_WLF_2	Arid1b	WLF	Female	Wildtype	Lithium	B2	Group2
Arid_WLF_3	Arid1b	WLF	Female	Wildtype	Lithium	B2	Group2
Arid_WLF_4	Arid1b	WLF	Female	Wildtype	Lithium	B2	Group2
Arid_WLF_5	Arid1b	WLF	Female	Wildtype	Lithium	B2	Group2
Arid_WLM_1	Arid1b	WLM	Male	Wildtype	Lithium	B2	Group1
Arid_WLM_2	Arid1b	WLM	Male	Wildtype	Lithium	B2	Group1
Arid_WLM_3	Arid1b	WLM	Male	Wildtype	Lithium	B2	Group1
Arid_WLM_4	Arid1b	WLM	Male	Wildtype	Lithium	B2	Group1
Arid_WLM_5	Arid1b	WLM	Male	Wildtype	Lithium	B2	Group1
Arid_WvF_1	Arid1b	WvF	Female	Wildtype	Vehicle	B2	Group2
Arid_WvF_2	Arid1b	WvF	Female	Wildtype	Vehicle	B2	Group2
Arid_WvF_3	Arid1b	WvF	Female	Wildtype	Vehicle	B2	Group2
Arid_WvF_4	Arid1b	WvF	Female	Wildtype	Vehicle	B2	Group2
Arid_WvF_5	Arid1b	WvF	Female	Wildtype	Vehicle	B2	Group2
Arid_WvM_2	Arid1b	WvM	Male	Wildtype	Vehicle	B2	Group1
Arid_WvM_3	Arid1b	WvM	Male	Wildtype	Vehicle	B2	Group1
Arid_WvM_4	Arid1b	WvM	Male	Wildtype	Vehicle	B2	Group1
Arid_WvM_5	Arid1b	WvM	Male	Wildtype	Vehicle	B2	Group1
ASH_HfF_1	Ash1l	HfF	Female	Mutant	Fluoxetine	B4-2	Group1
ASH_HfF_2	Ash1l	HfF	Female	Mutant	Fluoxetine	B4-2	Group1
ASH_HfF_3	Ash1l	HfF	Female	Mutant	Fluoxetine	B4-3	Group1
ASH_HfF_4	Ash1l	HfF	Female	Mutant	Fluoxetine	B4-2	Group1
ASH_HfF_5	Ash1l	HfF	Female	Mutant	Fluoxetine	B4-3	Group1
ASH_HfM_1	Ash1l	HfM	Male	Mutant	Fluoxetine	B4-3	Group2
ASH_HfM_2	Ash1l	HfM	Male	Mutant	Fluoxetine	B4-3	Group2
ASH_HfM_3	Ash1l	HfM	Male	Mutant	Fluoxetine	B4-3	Group2
ASH_HfM_4	Ash1l	HfM	Male	Mutant	Fluoxetine	B4-3	Group2
ASH_HfM_5	Ash1l	HfM	Male	Mutant	Fluoxetine	B4-2	Group2
ASH_HLF_1	Ash1l	HLF	Female	Mutant	Lithium	B4-3	Group1
ASH_HLF_2	Ash1l	HLF	Female	Mutant	Lithium	B4-3	Group1
ASH_HLF_3	Ash1l	HLF	Female	Mutant	Lithium	B4-3	Group1
ASH_HLF_5	Ash1l	HLF	Female	Mutant	Lithium	B4-2	Group1
ASH_HLM_1	Ash1l	HLM	Male	Mutant	Lithium	B4-3	Group2
ASH_HLM_2	Ash1l	HLM	Male	Mutant	Lithium	B4-3	Group2
ASH_HLM_3	Ash1l	HLM	Male	Mutant	Lithium	B4-3	Group2
ASH_HLM_4	Ash1l	HLM	Male	Mutant	Lithium	B4-3	Group2
ASH_HLM_5	Ash1l	HLM	Male	Mutant	Lithium	B4-3	Group2
ASH_HvF_1	Ash1l	HvF	Female	Mutant	Vehicle	B4-3	Group1
ASH_HvF_2	Ash1l	HvF	Female	Mutant	Vehicle	B4-3	Group1
ASH_HvF_3	Ash1l	HvF	Female	Mutant	Vehicle	B4-3	Group1
ASH_HvF_4	Ash1l	HvF	Female	Mutant	Vehicle	B4-3	Group1
ASH_HvF_5	Ash1l	HvF	Female	Mutant	Vehicle	B4-3	Group1
ASH_HvM_1	Ash1l	HvM	Male	Mutant	Vehicle	B4-3	Group2
ASH_HvM_2	Ash1l	HvM	Male	Mutant	Vehicle	B4-3	Group2
ASH_HvM_3	Ash1l	HvM	Male	Mutant	Vehicle	B4-3	Group2
ASH_HvM_4	Ash1l	HvM	Male	Mutant	Vehicle	B4-2	Group2
ASH_HvM_5	Ash1l	HvM	Male	Mutant	Vehicle	B4-3	Group2
ASH_WfF_1	Ash1l	WfF	Female	Wildtype	Fluoxetine	B4-3	Group1
ASH_WfF_2	Ash1l	WfF	Female	Wildtype	Fluoxetine	B4-3	Group1
ASH_WfF_3	Ash1l	WfF	Female	Wildtype	Fluoxetine	B4-3	Group1
ASH_WfF_4	Ash1l	WfF	Female	Wildtype	Fluoxetine	B4-2	Group1
ASH_WfF_5	Ash1l	WfF	Female	Wildtype	Fluoxetine	B4-3	Group1
ASH_WfM_1	Ash1l	WfM	Male	Wildtype	Fluoxetine	B4-3	Group2
ASH_WfM_2	Ash1l	WfM	Male	Wildtype	Fluoxetine	B4-3	Group2
ASH_WfM_3	Ash1l	WfM	Male	Wildtype	Fluoxetine	B4-3	Group2
ASH_WfM_4	Ash1l	WfM	Male	Wildtype	Fluoxetine	B4-3	Group2
ASH_WfM_5	Ash1l	WfM	Male	Wildtype	Fluoxetine	B4-3	Group2
ASH_WLF_1	Ash1l	WLF	Female	Wildtype	Lithium	B4-2	Group1
ASH_WLF_2	Ash1l	WLF	Female	Wildtype	Lithium	B4-2	Group1
ASH_WLF_3	Ash1l	WLF	Female	Wildtype	Lithium	B4-2	Group1
ASH_WLF_4	Ash1l	WLF	Female	Wildtype	Lithium	B4-2	Group1
ASH_WLF_5	Ash1l	WLF	Female	Wildtype	Lithium	B4-3	Group1
ASH_WLM_1	Ash1l	WLM	Male	Wildtype	Lithium	B4-3	Group2
ASH_WLM_2	Ash1l	WLM	Male	Wildtype	Lithium	B4-3	Group2
ASH_WLM_3	Ash1l	WLM	Male	Wildtype	Lithium	B4-2	Group2
ASH_WLM_4	Ash1l	WLM	Male	Wildtype	Lithium	B4-2	Group2
ASH_WLM_5	Ash1l	WLM	Male	Wildtype	Lithium	B4-2	Group2
ASH_WvF_1	Ash1l	WvF	Female	Wildtype	Vehicle	B4-2	Group1
ASH_WvF_2	Ash1l	WvF	Female	Wildtype	Vehicle	B4-2	Group1
ASH_WvF_3	Ash1l	WvF	Female	Wildtype	Vehicle	B4-2	Group1
ASH_WvF_4	Ash1l	WvF	Female	Wildtype	Vehicle	B4-3	Group1
ASH_WvF_5	Ash1l	WvF	Female	Wildtype	Vehicle	B4-3	Group1
ASH_WvM_1	Ash1l	WvM	Male	Wildtype	Vehicle	B4-3	Group2
ASH_WvM_2	Ash1l	WvM	Male	Wildtype	Vehicle	B4-3	Group2
ASH_WvM_3	Ash1l	WvM	Male	Wildtype	Vehicle	B4-3	Group2
ASH_WvM_4	Ash1l	WvM	Male	Wildtype	Vehicle	B4-3	Group2
ASH_WvM_5	Ash1l	WvM	Male	Wildtype	Vehicle	B4-3	Group2
CHN_HfF_1	Chd8-N	HfF	Female	Mutant	Fluoxetine	B1	Group2
CHN_HfF_2	Chd8-N	HfF	Female	Mutant	Fluoxetine	B1	Group2
CHN_HfF_3	Chd8-N	HfF	Female	Mutant	Fluoxetine	B1	Group2
CHN_HfF_4	Chd8-N	HfF	Female	Mutant	Fluoxetine	B1	Group2
CHN_HfF_5	Chd8-N	HfF	Female	Mutant	Fluoxetine	B1	Group2
CHN_HfM_1	Chd8-N	HfM	Male	Mutant	Fluoxetine	B1	Group1
CHN_HfM_2	Chd8-N	HfM	Male	Mutant	Fluoxetine	B1	Group1
CHN_HfM_3	Chd8-N	HfM	Male	Mutant	Fluoxetine	B1	Group1
CHN_HfM_4	Chd8-N	HfM	Male	Mutant	Fluoxetine	B1	Group1
CHN_HfM_5	Chd8-N	HfM	Male	Mutant	Fluoxetine	B1	Group1
CHN_HLF_1	Chd8-N	HLF	Female	Mutant	Lithium	B1	Group2
CHN_HLF_2	Chd8-N	HLF	Female	Mutant	Lithium	B1	Group2
CHN_HLF_3	Chd8-N	HLF	Female	Mutant	Lithium	B1	Group2
CHN_HLF_4	Chd8-N	HLF	Female	Mutant	Lithium	B1	Group2
CHN_HLF_5	Chd8-N	HLF	Female	Mutant	Lithium	B1	Group2
CHN_HLM_1	Chd8-N	HLM	Male	Mutant	Lithium	B1	Group1
CHN_HLM_2	Chd8-N	HLM	Male	Mutant	Lithium	B1	Group1
CHN_HLM_3	Chd8-N	HLM	Male	Mutant	Lithium	B1	Group1
CHN_HLM_4	Chd8-N	HLM	Male	Mutant	Lithium	B1	Group1
CHN_HLM_5	Chd8-N	HLM	Male	Mutant	Lithium	B1	Group1
CHN_HvF_1	Chd8-N	HvF	Female	Mutant	Vehicle	B1	Group2
CHN_HvF_2	Chd8-N	HvF	Female	Mutant	Vehicle	B1	Group2
CHN_HvF_3	Chd8-N	HvF	Female	Mutant	Vehicle	B1	Group2
CHN_HvF_4	Chd8-N	HvF	Female	Mutant	Vehicle	B1	Group2
CHN_HvF_5	Chd8-N	HvF	Female	Mutant	Vehicle	B1	Group2
CHN_HvM_1	Chd8-N	HvM	Male	Mutant	Vehicle	B1	Group1
CHN_HvM_2	Chd8-N	HvM	Male	Mutant	Vehicle	B1	Group1
CHN_HvM_3	Chd8-N	HvM	Male	Mutant	Vehicle	B1	Group1
CHN_HvM_4	Chd8-N	HvM	Male	Mutant	Vehicle	B1	Group1
CHN_HvM_5	Chd8-N	HvM	Male	Mutant	Vehicle	B1	Group1
CHN_WfF_1	Chd8-N	WfF	Female	Wildtype	Fluoxetine	B1	Group2
CHN_WfF_2	Chd8-N	WfF	Female	Wildtype	Fluoxetine	B1	Group2
CHN_WfF_3	Chd8-N	WfF	Female	Wildtype	Fluoxetine	B1	Group2
CHN_WfF_4	Chd8-N	WfF	Female	Wildtype	Fluoxetine	B1	Group2
CHN_WfF_5	Chd8-N	WfF	Female	Wildtype	Fluoxetine	B1	Group2
CHN_WfM_1	Chd8-N	WfM	Male	Wildtype	Fluoxetine	B1	Group1
CHN_WfM_2	Chd8-N	WfM	Male	Wildtype	Fluoxetine	B1	Group1
CHN_WfM_3	Chd8-N	WfM	Male	Wildtype	Fluoxetine	B1	Group1
CHN_WfM_4	Chd8-N	WfM	Male	Wildtype	Fluoxetine	B1	Group1
CHN_WfM_5	Chd8-N	WfM	Male	Wildtype	Fluoxetine	B1	Group1
CHN_WLF_1	Chd8-N	WLF	Female	Wildtype	Lithium	B1	Group2
CHN_WLF_2	Chd8-N	WLF	Female	Wildtype	Lithium	B1	Group2
CHN_WLF_3	Chd8-N	WLF	Female	Wildtype	Lithium	B1	Group2
CHN_WLF_4	Chd8-N	WLF	Female	Wildtype	Lithium	B1	Group2
CHN_WLF_5	Chd8-N	WLF	Female	Wildtype	Lithium	B1	Group2
CHN_WLM_1	Chd8-N	WLM	Male	Wildtype	Lithium	B1	Group1
CHN_WLM_2	Chd8-N	WLM	Male	Wildtype	Lithium	B1	Group1
CHN_WLM_3	Chd8-N	WLM	Male	Wildtype	Lithium	B1	Group1
CHN_WLM_4	Chd8-N	WLM	Male	Wildtype	Lithium	B1	Group1
CHN_WLM_5	Chd8-N	WLM	Male	Wildtype	Lithium	B1	Group1
CHN_WvF_1	Chd8-N	WvF	Female	Wildtype	Vehicle	B1	Group2
CHN_WvF_2	Chd8-N	WvF	Female	Wildtype	Vehicle	B1	Group2
CHN_WvF_3	Chd8-N	WvF	Female	Wildtype	Vehicle	B1	Group2
CHN_WvF_4	Chd8-N	WvF	Female	Wildtype	Vehicle	B1	Group2
CHN_WvF_5	Chd8-N	WvF	Female	Wildtype	Vehicle	B1	Group2
CHN_WvM_1	Chd8-N	WvM	Male	Wildtype	Vehicle	B1	Group1
CHN_WvM_2	Chd8-N	WvM	Male	Wildtype	Vehicle	B1	Group1
CHN_WvM_3	Chd8-N	WvM	Male	Wildtype	Vehicle	B1	Group1
CHN_WvM_4	Chd8-N	WvM	Male	Wildtype	Vehicle	B1	Group1
CHN_WvM_5	Chd8-N	WvM	Male	Wildtype	Vehicle	B1	Group1
Dyrk_HfF_1	Dyrk1a	HfF	Female	Mutant	Fluoxetine	B3	Group2
Dyrk_HfF_2	Dyrk1a	HfF	Female	Mutant	Fluoxetine	B3	Group2
Dyrk_HfF_3	Dyrk1a	HfF	Female	Mutant	Fluoxetine	B3	Group2
Dyrk_HfF_4	Dyrk1a	HfF	Female	Mutant	Fluoxetine	B3	Group2
Dyrk_HfF_5	Dyrk1a	HfF	Female	Mutant	Fluoxetine	B3	Group2
Dyrk_HfM_1	Dyrk1a	HfM	Male	Mutant	Fluoxetine	B3	Group1
Dyrk_HfM_2	Dyrk1a	HfM	Male	Mutant	Fluoxetine	B3	Group1
Dyrk_HfM_3	Dyrk1a	HfM	Male	Mutant	Fluoxetine	B3	Group1
Dyrk_HfM_4	Dyrk1a	HfM	Male	Mutant	Fluoxetine	B3	Group1
Dyrk_HfM_5	Dyrk1a	HfM	Male	Mutant	Fluoxetine	B3	Group1
Dyrk_HLF_1	Dyrk1a	HLF	Female	Mutant	Lithium	B3	Group2
Dyrk_HLF_2	Dyrk1a	HLF	Female	Mutant	Lithium	B3	Group2
Dyrk_HLF_3	Dyrk1a	HLF	Female	Mutant	Lithium	B3	Group2
Dyrk_HLF_4	Dyrk1a	HLF	Female	Mutant	Lithium	B3	Group2
Dyrk_HLF_5	Dyrk1a	HLF	Female	Mutant	Lithium	B3	Group2
Dyrk_HLM_1	Dyrk1a	HLM	Male	Mutant	Lithium	B3	Group1
Dyrk_HLM_2	Dyrk1a	HLM	Male	Mutant	Lithium	B3	Group1
Dyrk_HLM_3	Dyrk1a	HLM	Male	Mutant	Lithium	B3	Group1
Dyrk_HLM_4	Dyrk1a	HLM	Male	Mutant	Lithium	B3	Group1
Dyrk_HLM_5	Dyrk1a	HLM	Male	Mutant	Lithium	B3	Group1
Dyrk_HvF_1	Dyrk1a	HvF	Female	Mutant	Vehicle	B3	Group2
Dyrk_HvF_2	Dyrk1a	HvF	Female	Mutant	Vehicle	B3	Group2
Dyrk_HvF_3	Dyrk1a	HvF	Female	Mutant	Vehicle	B3	Group2
Dyrk_HvF_4	Dyrk1a	HvF	Female	Mutant	Vehicle	B3	Group2
Dyrk_HvF_5	Dyrk1a	HvF	Female	Mutant	Vehicle	B3	Group2
Dyrk_HvM_1	Dyrk1a	HvM	Male	Mutant	Vehicle	B3	Group1
Dyrk_HvM_2	Dyrk1a	HvM	Male	Mutant	Vehicle	B3	Group1
Dyrk_HvM_3	Dyrk1a	HvM	Male	Mutant	Vehicle	B3	Group1
Dyrk_HvM_4	Dyrk1a	HvM	Male	Mutant	Vehicle	B3	Group1
Dyrk_HvM_5	Dyrk1a	HvM	Male	Mutant	Vehicle	B3	Group1
Dyrk_WfF_1	Dyrk1a	WfF	Female	Wildtype	Fluoxetine	B3	Group2
Dyrk_WfF_2	Dyrk1a	WfF	Female	Wildtype	Fluoxetine	B3	Group2
Dyrk_WfF_3	Dyrk1a	WfF	Female	Wildtype	Fluoxetine	B3	Group2
Dyrk_WfF_4	Dyrk1a	WfF	Female	Wildtype	Fluoxetine	B3	Group2
Dyrk_WfF_5	Dyrk1a	WfF	Female	Wildtype	Fluoxetine	B3	Group2
Dyrk_WfM_1	Dyrk1a	WfM	Male	Wildtype	Fluoxetine	B3	Group1
Dyrk_WfM_2	Dyrk1a	WfM	Male	Wildtype	Fluoxetine	B3	Group1
Dyrk_WfM_3	Dyrk1a	WfM	Male	Wildtype	Fluoxetine	B3	Group1
Dyrk_WfM_4	Dyrk1a	WfM	Male	Wildtype	Fluoxetine	B3	Group1
Dyrk_WLF_1	Dyrk1a	WLF	Female	Wildtype	Lithium	B3	Group2
Dyrk_WLF_2	Dyrk1a	WLF	Female	Wildtype	Lithium	B3	Group2
Dyrk_WLF_3	Dyrk1a	WLF	Female	Wildtype	Lithium	B3	Group2
Dyrk_WLF_4	Dyrk1a	WLF	Female	Wildtype	Lithium	B3	Group2
Dyrk_WLF_5	Dyrk1a	WLF	Female	Wildtype	Lithium	B3	Group2
Dyrk_WLM_1	Dyrk1a	WLM	Male	Wildtype	Lithium	B3	Group1
Dyrk_WLM_2	Dyrk1a	WLM	Male	Wildtype	Lithium	B3	Group1
Dyrk_WLM_3	Dyrk1a	WLM	Male	Wildtype	Lithium	B3	Group1
Dyrk_WLM_4	Dyrk1a	WLM	Male	Wildtype	Lithium	B3	Group1
Dyrk_WLM_5	Dyrk1a	WLM	Male	Wildtype	Lithium	B3	Group1
Dyrk_WvF_1	Dyrk1a	WvF	Female	Wildtype	Vehicle	B3	Group2
Dyrk_WvF_2	Dyrk1a	WvF	Female	Wildtype	Vehicle	B3	Group2
Dyrk_WvF_3	Dyrk1a	WvF	Female	Wildtype	Vehicle	B3	Group2
Dyrk_WvF_4	Dyrk1a	WvF	Female	Wildtype	Vehicle	B3	Group2
Dyrk_WvF_5	Dyrk1a	WvF	Female	Wildtype	Vehicle	B3	Group2
Dyrk_WvM_1	Dyrk1a	WvM	Male	Wildtype	Vehicle	B3	Group1
Dyrk_WvM_2	Dyrk1a	WvM	Male	Wildtype	Vehicle	B3	Group1
Dyrk_WvM_3	Dyrk1a	WvM	Male	Wildtype	Vehicle	B3	Group1
Dyrk_WvM_4	Dyrk1a	WvM	Male	Wildtype	Vehicle	B3	Group1
Dyrk_WvM_5	Dyrk1a	WvM	Male	Wildtype	Vehicle	B3	Group1
G2b_HfF_1	Grin2b	HfF	Female	Mutant	Fluoxetine	B1	Group2
G2b_HfF_2	Grin2b	HfF	Female	Mutant	Fluoxetine	B1	Group2
G2b_HfF_3	Grin2b	HfF	Female	Mutant	Fluoxetine	B1	Group2
G2b_HfF_4	Grin2b	HfF	Female	Mutant	Fluoxetine	B1	Group2
G2b_HfF_5	Grin2b	HfF	Female	Mutant	Fluoxetine	B1	Group2
G2b_HfM_1	Grin2b	HfM	Male	Mutant	Fluoxetine	B1	Group2
G2b_HfM_2	Grin2b	HfM	Male	Mutant	Fluoxetine	B1	Group2
G2b_HfM_3	Grin2b	HfM	Male	Mutant	Fluoxetine	B1	Group2
G2b_HfM_4	Grin2b	HfM	Male	Mutant	Fluoxetine	B1	Group2
G2b_HfM_5	Grin2b	HfM	Male	Mutant	Fluoxetine	B1	Group2
G2b_HLF_1	Grin2b	HLF	Female	Mutant	Lithium	B1	Group2
G2b_HLF_2	Grin2b	HLF	Female	Mutant	Lithium	B1	Group2
G2b_HLF_3	Grin2b	HLF	Female	Mutant	Lithium	B1	Group2
G2b_HLF_4	Grin2b	HLF	Female	Mutant	Lithium	B1	Group2
G2b_HLF_5	Grin2b	HLF	Female	Mutant	Lithium	B1	Group2
G2b_HLM_1	Grin2b	HLM	Male	Mutant	Lithium	B1	Group2
G2b_HLM_2	Grin2b	HLM	Male	Mutant	Lithium	B1	Group2
G2b_HLM_3	Grin2b	HLM	Male	Mutant	Lithium	B1	Group2
G2b_HLM_4	Grin2b	HLM	Male	Mutant	Lithium	B1	Group2
